season,primary_team,compared_against_team,stat_bin,difference,absolute_difference
2017,Michigan State,Iowa,(-12 | -10],0,0
2017,Michigan State,Iowa,(-10 | -8],0,0
2017,Michigan State,Iowa,(-8 | -6],0,0
2017,Michigan State,Iowa,(26 | 28],0,0
2017,Michigan State,Iowa,(30 | 32],0,0
2017,Michigan State,Iowa,(36 | 38],0,0
2017,Michigan State,Iowa,(38 | 40],0,0
2017,Michigan State,Iowa,(40 | 42],0,0
2017,Michigan State,Iowa,(44 | 46],0,0
2017,Michigan State,Iowa,(46 | 48],0,0
2017,Michigan State,Iowa,(50 | 52],0,0
2017,Michigan State,Iowa,(54 | 56],0,0
2017,Michigan State,Iowa,(58 | 60],0,0
2017,Michigan State,Iowa,(60 | 62],0,0
2017,Michigan State,Iowa,(62 | 64],0,0
2017,Michigan State,Iowa,(64 | 66],0,0
2017,Michigan State,Iowa,(66 | 68],0,0
2017,Michigan State,Iowa,(68 | 70],0,0
2017,Michigan State,Iowa,(70 | 72],0,0
2017,Michigan State,Iowa,(72 | 74],0,0
2017,Michigan State,Iowa,(74 | 76],0,0
2017,Michigan State,Iowa,(76 | 78],0,0
